"Event.ID","Purchase.Date","Customer.ID","City","State","Postal.Code","Sale.Location","Delivery.Method"
"23","1/28/2020 10:01","3912","Beachwood","OH","44122","POS","E-Ticket"
"23","1/28/2020 10:01","3912","Beachwood","OH","44122","POS","E-Ticket"
"18","1/28/2020 9:26","2293","Parma","OH","44134","POS","E-Ticket"
"18","1/28/2020 9:26","2293","Parma","OH","44134","POS","E-Ticket"
"18","1/28/2020 7:49","5208","Cleveland","OH","44106","Web","E-Ticket"
"24","1/27/2020 23:25","2457","Chagrin Falls","OH","44022","Web","E-Ticket"
"24","1/27/2020 23:25","2457","Chagrin Falls","OH","44022","Web","E-Ticket"
"24","1/27/2020 23:25","2457","Chagrin Falls","OH","44022","Web","E-Ticket"
"24","1/27/2020 23:25","2457","Chagrin Falls","OH","44022","Web","E-Ticket"
"18","1/27/2020 21:45","1818","Cleveland","OH","44106","Web","E-Ticket"
"33","1/27/2020 21:30","4160","Peninsula","OH","44264","Web","E-Ticket"
"33","1/27/2020 21:30","4160","Peninsula","OH","44264","Web","E-Ticket"
"21","1/27/2020 19:41","2652","Cleveland Heights","OH","44106","Web","E-Ticket"
"21","1/27/2020 19:41","2652","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/27/2020 19:22","459","Westlake","OH","44145","Web","E-Ticket"
"18","1/27/2020 19:22","459","Westlake","OH","44145","Web","E-Ticket"
"21","1/27/2020 19:10","4696","Hudson","OH","44236","Web","E-Ticket"
"21","1/27/2020 18:06","1785","Parma","OH","44134","Web","Will Call"
"21","1/27/2020 18:06","1785","Parma","OH","44134","Web","Will Call"
"18","1/27/2020 17:43","1622","Cleveland","OH","44118","Web","Will Call"
"18","1/27/2020 17:43","1622","Cleveland","OH","44118","Web","Will Call"
"18","1/27/2020 16:32","1785","Parma","OH","44134","Web","Will Call"
"18","1/27/2020 16:32","1785","Parma","OH","44134","Web","Will Call"
